accuracy           , loss               , val_accuracy       , val_loss           , learning_rate
0.03611111268401146, 3.5598886013031006 , 0.07916666567325592, 3.387146234512329  , 0.0010000000474974513
0.13402777910232544, 3.0433366298675537 , 0.39722222089767456, 2.300875425338745  , 0.0010000000474974513
0.3272569477558136 , 2.293116331100464  , 0.6000000238418579 , 1.5234603881835938 , 0.0010000000474974513
0.4583333432674408 , 1.812698245048523  , 0.6763888597488403 , 1.1803386211395264 , 0.0010000000474974513
0.5423611402511597 , 1.5291855335235596 , 0.7097222208976746 , 1.04679274559021   , 0.0010000000474974513
0.5815972089767456 , 1.3630717992782593 , 0.7638888955116272 , 0.8773826360702515 , 0.0010000000474974513
0.6402778029441833 , 1.195646047592163  , 0.7861111164093018 , 0.8224392533302307 , 0.0010000000474974513
0.6605902910232544 , 1.1177701950073242 , 0.7958333492279053 , 0.7247902750968933 , 0.0010000000474974513
0.6907986402511597 , 1.02065908908844   , 0.8152777552604675 , 0.6908697485923767 , 0.0010000000474974513
0.7112846970558167 , 0.9359010457992554 , 0.8291666507720947 , 0.6382005214691162 , 0.0010000000474974513
0.7380208373069763 , 0.8724838495254517 , 0.8402777910232544 , 0.6110634207725525 , 0.0010000000474974513
0.7418403029441833 , 0.8268566727638245 , 0.8486111164093018 , 0.5518811941146851 , 0.0010000000474974513
0.7630208134651184 , 0.7648642063140869 , 0.8486111164093018 , 0.5281448364257812 , 0.0010000000474974513
0.7680555582046509 , 0.7356767654418945 , 0.862500011920929  , 0.5010405778884888 , 0.0010000000474974513
0.785069465637207  , 0.6868547201156616 , 0.8722222447395325 , 0.48307380080223083, 0.0010000000474974513
0.792187511920929  , 0.6784785985946655 , 0.8722222447395325 , 0.4640645384788513 , 0.0010000000474974513
0.8112847208976746 , 0.6069490909576416 , 0.8722222447395325 , 0.46070578694343567, 0.0010000000474974513
0.8012152910232544 , 0.6246148347854614 , 0.8833333253860474 , 0.4572222828865051 , 0.0010000000474974513
0.8157986402511597 , 0.5883982181549072 , 0.8805555701255798 , 0.4366825222969055 , 0.0010000000474974513
0.8270833492279053 , 0.5442699193954468 , 0.8833333253860474 , 0.4210444688796997 , 0.0010000000474974513
0.8329861164093018 , 0.5272364020347595 , 0.8791666626930237 , 0.42184019088745117, 0.0010000000474974513
0.8338541388511658 , 0.5020756125450134 , 0.887499988079071  , 0.4285561442375183 , 0.0010000000474974513
0.8381944298744202 , 0.5205376744270325 , 0.8763889074325562 , 0.4354110658168793 , 0.0010000000474974513
0.84375            , 0.4975953698158264 , 0.8791666626930237 , 0.42974069714546204, 0.0010000000474974513
0.8569444417953491 , 0.4567210376262665 , 0.8833333253860474 , 0.41127508878707886, 0.0010000000474974513
0.8590278029441833 , 0.43510740995407104, 0.8999999761581421 , 0.3722018897533417 , 0.0010000000474974513
0.8505208492279053 , 0.47365719079971313, 0.8930555582046509 , 0.3697821795940399 , 0.0010000000474974513
0.8621527552604675 , 0.422329843044281  , 0.8847222328186035 , 0.4048537015914917 , 0.0010000000474974513
0.8659722208976746 , 0.4288952648639679 , 0.8916666507720947 , 0.41274741291999817, 0.0010000000474974513
0.8746528029441833 , 0.40069109201431274, 0.894444465637207  , 0.368166286945343  , 0.0010000000474974513
0.8760416507720947 , 0.411920964717865  , 0.8930555582046509 , 0.37157222628593445, 0.0010000000474974513
0.871180534362793  , 0.4057862162590027 , 0.8888888955116272 , 0.3644804871082306 , 0.0010000000474974513
0.8819444179534912 , 0.3852504789829254 , 0.8972222208976746 , 0.3642901134490967, 0.0010000000474974513
0.8810763955116272 , 0.3846515715122223 , 0.9041666388511658 , 0.3595063693523407 , 0.0010000000474974513
0.8862847089767456 , 0.36296162009239197, 0.9013888835906982 , 0.35700598549842834, 0.0010000000474974513
0.8939236402511597 , 0.32105809450149536, 0.9069444537162781 , 0.3398943555355072 , 0.0005000000237487257
0.9098958373069763 , 0.28527629375457764, 0.9152777791023254 , 0.3076804995536804 , 0.0005000000237487257
0.8993055820465088 , 0.30873867869377136, 0.9138888716697693 , 0.2895093083381653 , 0.0005000000237487257
0.9161458611488342 , 0.26821157336235046, 0.9041666388511658 , 0.2788469123840332 , 0.0005000000237487257
0.9187659409145514 , 0.2608791615136464 , 0.9075227011255455 , 0.2777160849110286 , 0.0005000000237487257
0.9213860206802686 , 0.2535467496649425 , 0.9108787633999252 , 0.2565852574380239 , 0.0005000000237487257
0.9190061004459857 , 0.2462143378162384 , 0.9142348256743049 , 0.2554544299650192 , 0.0005000000237487257
0.9266261802117030 , 0.2388819259675344 , 0.9175908879486847 , 0.2543236024920146 , 0.0005000000237487257
0.9355462599774203 , 0.2152495141188303 , 0.9272469502230645 , 0.2374927750190098 , 0.0005000000237487257
0.9345663397431375 , 0.2085171022701264 , 0.9300030124974443 , 0.2267619475460052 , 0.0005000000237487257
0.9407864195088547 , 0.2005846904214224 , 0.9298590747718238 , 0.1966311200730007 , 0.0005000000237487257
0.9384064992745718 , 0.1938522785727182 , 0.9358151370462035 , 0.1865002925999959 , 0.0005000000237487257
0.9424265790402888 , 0.1865198667240144 , 0.9401711993205834 , 0.1759694651269912 , 0.0005000000237487257
0.9466466588060060 , 0.1791874548753102 , 0.9425272615949630 , 0.1642386376539865 , 0.0005000000237487257
0.9512667385717234 , 0.1712550430266063 , 0.9392833238693429 , 0.1651078101809818 , 0.0005000000237487257
0.9532868183374404 , 0.1645226311779023 , 0.9368393861437227 , 0.1689769827079774 , 0.0005000000237487257
0.9499068981031577 , 0.1571902193291981 , 0.9439954484181024 , 0.1518461552349725 , 0.0005000000237487257
0.9585269778688747 , 0.1498578074804943 , 0.9478515106924818 , 0.1223153277619679 , 0.0002500000118743628
0.9561470576345921 , 0.1425253956317903 , 0.9548075729668616 , 0.1301845002889634 , 0.0002500000118743628
0.9532671374003093 , 0.1351929837830860 , 0.9601636352412415 , 0.1290536728159586 , 0.0002500000118743628
0.9669872171660262 , 0.1272605719343820 , 0.9659196975156211 , 0.1163228453429541 , 0.0002500000118743628
0.9717273766974607 , 0.1131957482369742 , 0.9692318220643808 , 0.1046611903969448 , 0.0001250000059371814
0.9748474564631781 , 0.1052633363882700 , 0.9765878843387604 , 0.125303629239401 , 0.0001250000059371814
0.9704675362288953 , 0.0979309245395661 , 0.9843439466131400 , 0.1017995354509355 , 0.0001250000059371814
0.9737876159946123 , 0.1068985126908620 , 0.9780000088875198 , 0.1089687079779307 , 0.0001250000059371814
0.9724076957603295 , 0.0995661008421580 , 0.9813560711618996 , 0.0928378805049260 , 0.0001250000059371814
0.9790277755260467 , 0.0922336889934540 , 0.9847121334362793 , 0.0817070530319214 , 0.0001250000059371814